"Text","Sentiment"
"Mari kita jaga Penyelenggaraan Pemilu 2024 agar berjalan aman damai. Oleh karena itu, mari kita jaga netralitas ASN sebagai tenaga pemerintah profesional.

#ASNNetral, #jagapersatuan,
#SukseskanPemilu2024 https://t.co/yALRCWhFj6","Positif"
"@hamidah_nadya Lah 9 tahun berkuasa ngapain aja... 
https://t.co/PNxpJvZboA...","Negatif"
"Ketua Umum Partai Demokrasi Indonesia Perjuangan (PDIP) Megawati Soekarnoputri menyatakan tak pernah campur tangan atau menekan Presiden RI Joko Widodo (Jokowi) dalam keputusannya untuk 'cawe-cawe' dalam pilpres Pemilu 2024 mendatang

https://t.co/IjXiYCCxYW","Netral"
"RT @DindaP1805: @refaabdi Pemilu 2024 Momen Mempersatukan Bangsa Indonesia #PemiluSerentak2024 #Pemilu2024SesuaiTahapan #TolakPenundaanPemi…","Positif"
"RT @SuciAzz36839148: @Moyne897 @refaabdi Sosialisasi Pemilu 2024 #PemiluSerentak2024 #Pemilu2024SesuaiTahapan #TolakPenundaanPemilu #AntiPo…","Netral"
"RT @SuciAzz36839148: @DindaP1805 @refaabdi Sosialisasi Pemilu 2024 #PemiluSerentak2024 #Pemilu2024SesuaiTahapan #TolakPenundaanPemilu #Anti…","Netral"
"Ganjar Pranowo menghadiri Konsolidasi Akbar Pemenangan Pemilu Legislatif & Pemilu Presiden (Pilpres) 2024 di Baskes Hall Senayan, Jakpus, Kegiatan yg digelar DPD  (PDIP) DKI Jakarta itu juga dihadiri dihadiri ribuan kader.
#bersamaganjar #ganjaruntukindonesia #GanjarPresiden2024 https://t.co/avwkbYIDp3","Netral"
"RT @DindaP1805: @SuciAzz36839148 @refaabdi Sosialisasi Pemilu 2024 #PemiluSerentak2024 #Pemilu2024SesuaiTahapan #TolakPenundaanPemilu #Anti…","Netral"
"@Moyne897 @refaabdi Sosialisasi Pemilu 2024 #PemiluSerentak2024 #Pemilu2024SesuaiTahapan #TolakPenundaanPemilu #AntiPolitikIdentitas #TolakPolitikMasjid #Pancasila #OKAYCUTItsHaechanDay #??????_????_???? https://t.co/RjG50OPODG","Netral"
"RT @dennyindrayana: https://t.co/425kqkwhwQ

????. ??????, ?????? ????????, ??? ???? ?? ? ???????

Mau tahu 'bocoran' obrolan saya dengan P…","Negatif"
"RT @Aryprasetyo85: Ada Parpol mati-matian bela Kader nya yang jadi TERSANGKA KORUPSI!

Pertanyaan nya adalah..
Parpol kehilangannya ATM nya…","Negatif"
"RT @ch_chotimah2: Berarti cara kita Kampanyekan pak @ganjarpranowo sdh benar.
Yuk pertahankan, jgn sebar hoax dan fitnah, seperti 2014 dan…","Positif"
"@SuciAzz36839148 @refaabdi Sosialisasi Pemilu 2024 #PemiluSerentak2024 #Pemilu2024SesuaiTahapan #TolakPenundaanPemilu #AntiPolitikIdentitas #TolakPolitikMasjid #Pancasila #OKAYCUTItsHaechanDay #??????_????_???? https://t.co/zSJOi4awoP","Netral"
"Demokrat Ungkap Kerjasama Lembaga Survei Untuk Kalahkan Anies Baswedan 

 https://t.co/9WgcCZdtv0","Negatif"
"RT @SuciAzz36839148: @DindaP1805 @refaabdi Sosialisasi Pemilu 2024 #PemiluSerentak2024 #Pemilu2024SesuaiTahapan #TolakPenundaanPemilu #Anti…","Netral"
"Denny Indrayana Kembali Kuliti Cawe-Cawe Jokowi Cegah Anies Menang 

 https://t.co/vR1SLgPo1m","Negatif"
"RT @Debbi_miken: @SuciAzz36839148 @refaabdi pemilu 2024 langkah lanjutkan pembangunan nasional #PemiluSerentak2024 #Pemilu2024SesuaiTahapan…","Netral"
"RT @BennyHarmanID: Luaar biasa! Coba kita bayangkan apa yg bakal terjadi jika Ketua MK, Ketua MA, Panglima TNI, Jaksa Agung, Ketua KPK, Kep…","Netral"
"RT @dennyindrayana: https://t.co/425kqkwhwQ

????. ??????, ?????? ????????, ??? ???? ?? ? ???????

Berikut penjelasan lebih lengkap obrolan…","Netral"
"@Melvinization @refaabdi Pemilu 2024 tetap dilaksanakan sesuai Jadwal yg ditetapkan! #Pemilu2024SesuaiTahapan #TolakPenundaanPemilu #AntiPolitikIdentitas #TolakPolitikMasjid #Pemilu2024 #Pilpres2024 #Capres2024 #KPU #Bawaslu #IndonesiaMaju https//t.co/j5QmOP0VEg","Netral"
"RT @ch_chotimah2: Berarti cara kita Kampanyekan pak @ganjarpranowo sdh benar.
Yuk pertahankan, jgn sebar hoax dan fitnah, seperti 2014 dan…","Positif"
"RT @DindaP1805: @refaabdi Pemilu 2024 Momen Mempersatukan Bangsa Indonesia #PemiluSerentak2024 #Pemilu2024SesuaiTahapan #TolakPenundaanPemi…","Positif"
"RT @dennyindrayana: https://t.co/425kqkwhwQ

????. ??????, ?????? ????????, ??? ???? ?? ? ???????

Mau tahu 'bocoran' obrolan saya dengan P…","Negatif"
"RT @dennyindrayana: https://t.co/425kqkwhwQ

????. ??????, ?????? ????????, ??? ???? ?? ? ???????

Berikut penjelasan lebih lengkap obrolan…","Netral"
"RT @dennyindrayana: https://t.co/425kqkwhwQ

????. ??????, ?????? ????????, ??? ???? ?? ? ???????

Berikut penjelasan lebih lengkap obrolan…","Netral"
"Jika berhasil merebut perhatian para pemilih muda, lanjut Kunto, terbuka peluang buat Prabowo menang mengingat jumlah pemilih muda pada Pemilu 2024 sangat besar.
#PrabowoUntukIndonesia #NeruskePakdhe Prabowo Subianto","Positif"
"RT @GetaranNusa: @suroboyo_cok @refaabdi Tentram dan sukses pemilu 2024 !! #PemiluSerentak2024 #Pemilu2024SesuaiTahapan #TolakPenundaanPemi…","Positif"
"Analis komunikasi politik dari Universitas Padjadjaran Kunto Adi Wibowo menilai, bakal calon presiden (capres) dari Partai Gerindra Prabowo Subianto mencoba bermain di “garis tengah” pada Pemilu 2024.
#PrabowoUntukIndonesia #NeruskePakdhe Prabowo Subianto","Netral"
"RT @DindaP1805: @DiamTetap @refaabdi Sosialisasi Pemilu 2024 #PemiluSerentak2024 #Pemilu2024SesuaiTahapan #TolakPenundaanPemilu #AntiPoliti…","Netral"
"@DiamTetap @refaabdi pemilu 2024 langkah lanjutkan pembangunan nasional #PemiluSerentak2024 #Pemilu2024SesuaiTahapan #TolakPenundaanPemilu #AntiPolitikIdentitas #TolakPolitikMasjid #Pancasila #OKAYCUTItsHaechanDay #??????_????_???? https://t.co/ilmRFTuaPS","Netral"
"@GetaranNusa @refaabdi Sosialisasi Pemilu 2024 #PemiluSerentak2024 #Pemilu2024SesuaiTahapan #TolakPenundaanPemilu #AntiPolitikIdentitas #TolakPolitikMasjid #Pancasila #OKAYCUTItsHaechanDay #??????_????_???? https://t.co/9OqNUM1aXI","Netral"
"@suroboyo_cok @refaabdi Tentram dan sukses pemilu 2024 !! #PemiluSerentak2024 #Pemilu2024SesuaiTahapan #TolakPenundaanPemilu #AntiPolitikIdentitas #TolakPolitikMasjid #Pancasila #OKAYCUTItsHaechanDay #??????_????_???? https://t.co/tx3LDFGxKY","Positif"
"AHY Minta Demokat Wilayah Papua Selatan Tetap Solid Menang di Pemilu 2024.
nsp

PDemokrat
AgusYudhoyono
AHY Pimpin Perubahan
https://t.co/fbPzWFlxfV","Positif"
"RT @dennyindrayana: https://t.co/425kqkwhwQ

????. ??????, ?????? ????????, ??? ???? ?? ? ???????

Mau tahu 'bocoran' obrolan saya dengan P…","Negatif"
"@gwynethiraadong Pemilu 2024 aman damai????","Netral"
"Mari kita jaga Penyelenggaraan Pemilu 2024 agar berjalan aman damai. Oleh karena itu, mari kita jaga netralitas ASN sebagai tenaga pemerintah profesional.
#ASNNetral #jagapersatuan
#SukseskanPemilu2024 https://t.co/QmZFZrw2Ta","Positif"
"Soliditas, kekompakan dan kesiapan para kader Demokrat menuju Pemilu 2024.
`_j

PDemokrat
AgusYudhoyono
AHY Pimpin Perubahan
https://t.co/50nAftpLjG","Positif"
"Ketua Badan Pemenangan Pemilu (Bappilu) Partai Gerindra Sufmi Dasco Ahmad telah resmi menunjuk aktor Fauzi Baadila dan Haris Rusly memimpin relawan pendukung bakal calon presiden atau bakal capres 2024 Prabowo Subianto. #PrabowoUntukIndonesia #NeruskePakdhe Prabowo Subianto","Netral"
"Megawati Soekarnoputri: Rakernas III PDI Perjuangan Konsolidasi Partai Sambut Pemilu 2024
 https://t.co/tYhyZxS1fV","Netral"
"RT @SuciAzz36839148: @DindaP1805 @refaabdi Sosialisasi Pemilu 2024 #PemiluSerentak2024 #Pemilu2024SesuaiTahapan #TolakPenundaanPemilu #Anti…","Netral"
